1	3.85
2	3.775
3	3.95
4	4.525
5	6.225
6	7.475
7	9.325
8	12.075
9	16.825
10	22.25
11	26.175
12	33.5
13	33.5
14	33.5
15	33.5
16	33.5
17	33.5
18	33.5
19	33.5
20	33.5
21	33.5
22	33.5
23	33.5
24	33.5
25	33.5
26	33.5
27	33.5
28	33.5
29	33.5
30	33.5
31	33.5
32	33.5
33	33.5
34	33.5
35	33.5
36	33.5
37	33.5
38	33.5
39	33.5
40	33.5
41	33.5
42	33.5
43	33.5
44	33.5
45	33.5
46	33.5
47	33.5
48	33.5
49	33.5
50	33.5
51	33.5
52	33.5
53	33.5
54	33.5
55	33.5
56	33.5
57	33.5
58	33.5
59	33.5
60	33.5
61	33.5
62	33.5
63	33.5
64	33.5
65	33.5
66	33.5
67	33.5
68	33.5
69	33.5
70	33.5
71	33.5
72	33.5
73	33.5
74	33.5
75	33.5
76	33.5
77	33.5
78	33.5
79	33.5
80	33.5
81	33.5
82	33.5
83	33.5
84	33.5
85	33.5
86	33.5
87	33.5
88	33.5
89	33.5
90	33.5
91	33.5
92	33.5
93	33.5
94	33.5
95	33.5
96	33.5
97	33.5
98	33.5
99	33.5
100	33.5
